question_id,question,strategy,answer,citations,n_chunks
3,What is the relationship between agroecology and biodiversity?,few_shot,"Agroecology and biodiversity are intrinsically linked, as agroecology emphasizes the preservation and utilization of biodiversity within agroecosystems to enhance sustainability and resilience. By integrating practices such as agroforestry, crop diversity, and organic soil management, agroecology supports ecosystem functions like pollination, pest control, nutrient cycling, and water regulation, which are crucial under climate stress (Amoak, Luginaah, & McBean, 2022). This approach not only main","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
3,What is the relationship between agroecology and biodiversity?,chain_of_thought,"FINAL ANSWER: Agroecology and biodiversity are intricately linked, with agroecology emphasizing the enhancement and preservation of biodiversity as a core principle. Agroecology integrates ecological processes into agricultural practices to create sustainable and resilient food systems. This approach involves increasing farm biodiversity, which benefits farmers through improved ecosystem services such as pollination, pest control, nutrient cycling, soil fertility, and water regulation (Amoak et ","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
4,How does agroecology address climate change adaptation?,clear_delimiters,"Agroecology addresses climate change adaptation through several mechanisms that enhance the resilience of agricultural systems. It stimulates sustainable food production by offering diverse soil and land management options, which are particularly beneficial in resource-constrained regions. Agroecological interventions such as crop diversification, soil management, livestock integration, and pest management have been positively associated with food security and nutrition. Crop diversification, fo","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Quintero, C. (2023). *Evidence of agroecology’s contribution to mitigation, adaptation, and resilience under climate variability and change in Latin America*. | Suárez-Córdoba, Y. (et al.) (2025). *Evidence of Agroecological Performance in Production Systems Integrating Agroecology and Bioeconomy Actions Using TAPE in the Colombian Andean–Amazon Transition Zone*.",5
4,How does agroecology address climate change adaptation?,json_output,"```json {   ""answer"": ""Agroecology addresses climate change adaptation by promoting sustainable food production through practices such as crop diversification, soil management, livestock integration, and pest management. These practices enhance resilience to climate variability by creating diversified landscapes that generate microclimates, conserve soil humidity, and reduce temperature extremes. Agroecology also supports gendered adaptation strategies and emphasizes the importance of social, ec","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Quintero, C. (2023). *Evidence of agroecology’s contribution to mitigation, adaptation, and resilience under climate variability and change in Latin America*. | Suárez-Córdoba, Y. (et al.) (2025). *Evidence of Agroecological Performance in Production Systems Integrating Agroecology and Bioeconomy Actions Using TAPE in the Colombian Andean–Amazon Transition Zone*.",5
4,How does agroecology address climate change adaptation?,few_shot,"Agroecology addresses climate change adaptation by promoting sustainable food production through diverse soil and land management practices. These practices, such as crop diversification, agroforestry, and pest management, enhance food security and nutrition by creating resilient farming systems that can withstand climate variability (Amoak, Luginaah, & McBean, 2022). Agroecological systems also contribute to adaptation by creating microclimates and conserving soil humidity, which help maintain ","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Quintero, C. (2023). *Evidence of agroecology’s contribution to mitigation, adaptation, and resilience under climate variability and change in Latin America*. | Suárez-Córdoba, Y. (et al.) (2025). *Evidence of Agroecological Performance in Production Systems Integrating Agroecology and Bioeconomy Actions Using TAPE in the Colombian Andean–Amazon Transition Zone*.",5
4,How does agroecology address climate change adaptation?,chain_of_thought,"FINAL ANSWER: Agroecology addresses climate change adaptation through a variety of strategies that enhance the resilience of agricultural systems and communities. One of the primary ways it does this is by promoting sustainable food production practices that are adaptable to climate variability. For instance, agroecology encourages crop diversification, which allows farmers to harvest crops at different times due to varying maturity rates, thereby extending food availability and enhancing resili","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Quintero, C. (2023). *Evidence of agroecology’s contribution to mitigation, adaptation, and resilience under climate variability and change in Latin America*. | Suárez-Córdoba, Y. (et al.) (2025). *Evidence of Agroecological Performance in Production Systems Integrating Agroecology and Bioeconomy Actions Using TAPE in the Colombian Andean–Amazon Transition Zone*.",5
5,What are the main socioeconomic benefits of agroecological practices?,clear_delimiters,"The main socioeconomic benefits of agroecological practices, as identified in the provided literature, include:  1. **Positive Socioeconomic Outcomes**: Agroecological practices are associated with positive socioeconomic outcomes in a majority of cases. Specifically, 51% of evaluated metrics show positive outcomes, compared to 30% negative, 10% neutral, and 9% inconclusive outcomes (Mouratiadou et al., 2024).  2. **Financial Capital**: The majority of socioeconomic metrics evaluated relate to fi","Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Mouratiadou, I. (et al.) (2024). *The socio‑economic performance of agroecology. A review.*.",5
5,What are the main socioeconomic benefits of agroecological practices?,json_output,"```json {   ""answer"": ""The main socioeconomic benefits of agroecological practices include positive outcomes on financial capital, such as increased income, revenues, productivity, and efficiency. These practices often result in enhanced land use and input efficiency, reduced exposure to market risks, and lower production costs. Additionally, agroecological practices can improve social and environmental performance, foster collaboration and knowledge exchange, and support the revitalization of l","Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Mouratiadou, I. (et al.) (2024). *The socio‑economic performance of agroecology. A review.*.",5
5,What are the main socioeconomic benefits of agroecological practices?,few_shot,"Agroecological practices are associated with several socioeconomic benefits, primarily through positive outcomes on financial capital. These practices often lead to increased income, revenues, productivity, and efficiency, with 53% of cases showing favorable financial outcomes (Mouratiadou et al., 2024). Additionally, agroecological practices can enhance land use and input efficiency, reduce exposure to market risks, and lower production costs (Fiore et al., 2024). Moreover, these practices cont","Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Mouratiadou, I. (et al.) (2024). *The socio‑economic performance of agroecology. A review.*.",5
5,What are the main socioeconomic benefits of agroecological practices?,chain_of_thought,"FINAL ANSWER: Agroecological practices offer several socioeconomic benefits, as highlighted by recent reviews and studies. Firstly, these practices are often associated with positive socioeconomic outcomes across various metrics. Specifically, 51% of evaluated cases show positive outcomes, particularly in terms of financial capital, where 53% of cases report improvements due to increased income, revenues, productivity, and efficiency (Mouratiadou et al., 2024). Additionally, agroecological pract","Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Mouratiadou, I. (et al.) (2024). *The socio‑economic performance of agroecology. A review.*.",5
6,How is agroecology different from conventional agriculture?,clear_delimiters,I cannot find this in the provided papers.,"Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*.",5
6,How is agroecology different from conventional agriculture?,json_output,"```json {   ""answer"": ""Agroecology differs from conventional agriculture in several key ways. It emphasizes ecological processes and biodiversity, integrating multiple disciplines such as agronomy, ecology, and sociology, and relies on local and traditional knowledge. Agroecology promotes sustainable methods by considering the interdependencies between humans and nature, and it often involves practices like agroforestry, mixed farming, and composting. In contrast, conventional agriculture typica","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*.",5
6,How is agroecology different from conventional agriculture?,few_shot,"Agroecology differs from conventional agriculture in several key ways. While conventional agriculture often relies on intensive use of fossil fuels and chemical inputs, agroecology emphasizes ecological processes and sustainability. Agroecological practices aim to enhance land use and input efficiency, reduce exposure to market risks, and lower production costs (Fiore et al., 2024). Unlike conventional systems, which may prioritize short-term productivity, agroecology integrates insights from mu","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*.",5
6,How is agroecology different from conventional agriculture?,chain_of_thought,"FINAL ANSWER: Agroecology differs from conventional agriculture in several fundamental ways, primarily in its approach to sustainability, ecological integration, and socio-economic considerations.  STEP 1 - Identify relevant sources: The sources provided include discussions on the principles and practices of agroecology, comparisons with conventional agriculture, and the socio-economic implications of agroecological practices.  STEP 2 - Extract key claims:  - Agroecology emphasizes ecological pr","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*.",5
7,What role does agroecology play in smallholder food security?,clear_delimiters,"Agroecology plays a significant role in enhancing the resilience and food security of smallholders. It provides low external input-dependent options that can be integrated into agricultural policies, especially in agrarian economies dominated by smallholders. Given the challenges posed by high prices for industrial inputs and energy, agroecology offers a sustainable alternative or complementary approach to the green revolution/industrial model. It emphasizes the use of locally available resource","Dagunga, G. (et al.) (2023). *Agroecology and resilience of smallholder food security*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*.",5
7,What role does agroecology play in smallholder food security?,json_output,"```json {   ""answer"": ""Agroecology plays a significant role in enhancing smallholder food security by providing low external input-dependent options that can be integrated into agricultural policies, especially in agrarian economies where smallholders dominate. It helps build resilience against shocks such as high prices for industrial inputs and energy. Agroecology also supports food security by utilizing locally available resources and knowledge, promoting practices like mixed farming and crop","Dagunga, G. (et al.) (2023). *Agroecology and resilience of smallholder food security*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*.",5
7,What role does agroecology play in smallholder food security?,few_shot,"Agroecology plays a critical role in enhancing the resilience and food security of smallholders by offering low external input-dependent options that can be integrated into agricultural policies, especially in agrarian economies dominated by smallholders (Dagunga et al., 2023). It provides a framework that links science, policy, and practices, which is essential for successful agroecological transitioning or transformation. This approach is particularly relevant in the post-COVID-19 era, where s","Dagunga, G. (et al.) (2023). *Agroecology and resilience of smallholder food security*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*.",5
7,What role does agroecology play in smallholder food security?,chain_of_thought,"STEP 1 - Identify relevant sources. The relevant sources for understanding the role of agroecology in smallholder food security include: 1. ""Agroecology and resilience of smallholder food security"" by Dagunga et al. (2023). 2. ""The socio-economic issues of agroecology: a scoping review"" by Fiore et al. (2024).  STEP 2 - Extract key claims. 1. Dagunga et al. (2023) argue that agroecology offers a sustainable alternative or complementary strategy to the industrial model for enhancing smallholder f","Dagunga, G. (et al.) (2023). *Agroecology and resilience of smallholder food security*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*.",5
8,What are the main challenges for scaling up agroecology in Europe?,clear_delimiters,I cannot find this in the provided papers.,"Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Prost, L. (et al.) (2023). *Key research challenges to supporting farm transitions to agroecology in advanced economies. A review.*. | Viera-Arroyo, W. (et al.) (2025). *Systematic Review of Integrating Technology for Sustainable Agricultural Transitions: Ecuador, a Country with Agroecological Potential*.",5
8,What are the main challenges for scaling up agroecology in Europe?,json_output,"```json {   ""answer"": ""The main challenges for scaling up agroecology in Europe include the need for broad-based transitions that engage consumers, citizens, and public authorities at various levels. There is also a necessity for performance assessments that emphasize resilience, ecosystem services, and sustainability. Additionally, modeling is required to predict agricultural system evolution and manage new agroecosystems. The integration of digital tools and the alignment of policy frameworks ","Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Prost, L. (et al.) (2023). *Key research challenges to supporting farm transitions to agroecology in advanced economies. A review.*. | Viera-Arroyo, W. (et al.) (2025). *Systematic Review of Integrating Technology for Sustainable Agricultural Transitions: Ecuador, a Country with Agroecological Potential*.",5
8,What are the main challenges for scaling up agroecology in Europe?,few_shot,"A: The main challenges for scaling up agroecology in Europe include the need for comprehensive performance assessments that emphasize resilience, ecosystem services, and sustainability across environmental, social, and economic dimensions (Tittonell, 2020). Additionally, modeling is essential to predict the evolution of agricultural systems and manage new agroecosystems effectively (Padro et al., 2020). The transition requires engagement from consumers, citizens, and public authorities at variou","Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Prost, L. (et al.) (2023). *Key research challenges to supporting farm transitions to agroecology in advanced economies. A review.*. | Viera-Arroyo, W. (et al.) (2025). *Systematic Review of Integrating Technology for Sustainable Agricultural Transitions: Ecuador, a Country with Agroecological Potential*.",5
8,What are the main challenges for scaling up agroecology in Europe?,chain_of_thought,"FINAL ANSWER: The main challenges for scaling up agroecology in Europe revolve around the need for systemic transformations in agricultural practices and policies. One significant challenge is the high level of specialization and dependency on synthetic inputs in European agriculture, which contrasts with the diversified and sustainable practices promoted by agroecology (Prost et al., 2023). Additionally, the transition requires engaging a broad range of stakeholders, including consumers, citize","Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Prost, L. (et al.) (2023). *Key research challenges to supporting farm transitions to agroecology in advanced economies. A review.*. | Viera-Arroyo, W. (et al.) (2025). *Systematic Review of Integrating Technology for Sustainable Agricultural Transitions: Ecuador, a Country with Agroecological Potential*.",5
9,How does regenerative agriculture relate to agroecology?,clear_delimiters,I cannot find this in the provided papers.,"Tittonell, P. (et al.) (2021). *Regenerative agriculture-agroecology without politics?*.",5
9,How does regenerative agriculture relate to agroecology?,json_output,"```json {   ""answer"": ""Regenerative agriculture and agroecology are related but distinct approaches to sustainable agriculture. Regenerative agriculture aims to improve the environment and economic viability of farmland, often focusing on specific practices like no-tillage and crop rotations. It can be categorized into different types, including philosophical approaches and those focused on soil and landscape restoration. Agroecology, as defined by FAO, emphasizes social dimensions, political ac","Tittonell, P. (et al.) (2021). *Regenerative agriculture-agroecology without politics?*.",5
9,How does regenerative agriculture relate to agroecology?,few_shot,"Regenerative agriculture and agroecology share common goals in promoting sustainable agricultural practices, yet they differ in their emphasis and scope. Regenerative agriculture aims to improve the environment and economic viability of farmland, often focusing on specific agronomic practices like no-tillage and crop rotations (Tittonell et al., 2021). It encompasses a variety of approaches, some of which align closely with agroecological principles, such as efficiency, resilience, and respect f","Tittonell, P. (et al.) (2021). *Regenerative agriculture-agroecology without politics?*.",5
9,How does regenerative agriculture relate to agroecology?,chain_of_thought,"FINAL ANSWER: Regenerative agriculture and agroecology are interconnected yet distinct approaches to sustainable agriculture, each with its unique focus and principles. Regenerative agriculture aims to go beyond sustainability by continuously improving environmental health and economic viability of farmland, a concept initially proposed by Robert Rodale in the 1980s (Tittonell et al., 2021). This approach encompasses a variety of practices and definitions, ranging from philosophical principles t","Tittonell, P. (et al.) (2021). *Regenerative agriculture-agroecology without politics?*.",5
10,What tools are used to measure agroecological performance?,clear_delimiters,I cannot find this in the provided papers.,"Geck, M., Corssland, M., & Lamanna, C.  (2024). *Measuring agroecology and its performance: An overview and critical discussion of existing tools and approaches*.",5
10,What tools are used to measure agroecological performance?,json_output,"```json {   ""answer"": ""The tools used to measure agroecological performance include the FAO TAPE (2019), Levard (2023), the IFAD Agroecology Framework, and the Global Farm Metric (2023). These tools combine the assessment of agroecological integration with performance evaluation and provide indicators for sustainability assessments."",   ""confidence"": ""high"",   ""key_concepts"": [     ""agroecological performance measurement"",     ""FAO TAPE"",     ""IFAD Agroecology Framework"",     ""Global Farm Metric","Geck, M., Corssland, M., & Lamanna, C.  (2024). *Measuring agroecology and its performance: An overview and critical discussion of existing tools and approaches*.",5
10,What tools are used to measure agroecological performance?,few_shot,"A: Tools used to measure agroecological performance include the FAO's TAPE, Levard's framework, and the IFAD Agroecology Framework, which combine the assessment of agroecological integration with performance evaluation (Geck, Corssland, & Lamanna, 2024). These tools are designed to evaluate the degree of agroecological integration at various levels, such as farm, landscape, and food system, and assess their contributions to broader priorities like gender, climate change, nutrition, and youth (Ol","Geck, M., Corssland, M., & Lamanna, C.  (2024). *Measuring agroecology and its performance: An overview and critical discussion of existing tools and approaches*.",5
10,What tools are used to measure agroecological performance?,chain_of_thought,"FINAL ANSWER: To measure agroecological performance, several tools and frameworks are utilized, each with distinct approaches and focuses. The FAO's TAPE (Tool for Agroecology Performance Evaluation) is one such tool that assesses the integration of agroecological elements at the household level, providing a comprehensive evaluation of agroecological practices (Geck et al., 2024). The IFAD Agroecology Framework combines the measurement of agroecological integration with performance assessment, a","Geck, M., Corssland, M., & Lamanna, C.  (2024). *Measuring agroecology and its performance: An overview and critical discussion of existing tools and approaches*.",5
11,How does agroecology support local food system resilience?,clear_delimiters,"Agroecology supports local food system resilience by providing a holistic and human-centered framework that enhances the socio-ecological sustainability of farming systems. It plays a central role in transforming food systems to be more resilient by addressing challenges related to sustainability and food security. Agroecology emphasizes localized, ecologically sound, and socially just food systems, which are better equipped to withstand shocks and crises. This approach involves practices such a","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Chavez-Miguel, G. (et al.) (2024). *Local food system resilience in the context of shocks and crises: vulnerabilities and responses of agroecology-based farmers in Peru, Germany, and the United States*.",5
11,How does agroecology support local food system resilience?,json_output,"```json {   ""answer"": ""Agroecology supports local food system resilience by promoting sustainable farming practices that enhance the ability of food systems to withstand and adapt to shocks and crises. It emphasizes localized, ecologically sound, and socially just food systems, which are less dependent on long-value chains and imports. Agroecology integrates practices such as crop diversification, soil management, and the revitalization of traditional knowledge, which collectively improve the so","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Chavez-Miguel, G. (et al.) (2024). *Local food system resilience in the context of shocks and crises: vulnerabilities and responses of agroecology-based farmers in Peru, Germany, and the United States*.",5
11,How does agroecology support local food system resilience?,few_shot,"Agroecology supports local food system resilience by promoting sustainable and localized food production practices that enhance the system's ability to withstand shocks and crises. By focusing on ecological and socially just food systems, agroecology reduces reliance on long food value chains and imports, thereby strengthening local food networks (Chavez-Miguel et al., 2024). Agroecological practices such as crop diversification, soil management, and the integration of traditional knowledge cont","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Chavez-Miguel, G. (et al.) (2024). *Local food system resilience in the context of shocks and crises: vulnerabilities and responses of agroecology-based farmers in Peru, Germany, and the United States*.",5
11,How does agroecology support local food system resilience?,chain_of_thought,"FINAL ANSWER: Agroecology supports local food system resilience through several mechanisms that enhance the ability of these systems to withstand and adapt to various shocks and stresses. Firstly, agroecology promotes the transformation of food systems from globally interconnected, long-value chain models to more localized, ecologically sound, and socially just systems. This shift is crucial for building resilience as it reduces dependency on external inputs and global markets, which can be vuln","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Chavez-Miguel, G. (et al.) (2024). *Local food system resilience in the context of shocks and crises: vulnerabilities and responses of agroecology-based farmers in Peru, Germany, and the United States*.",5
12,What is the TAPE methodology and how is it used in agroecology?,clear_delimiters,"The Tool for Agroecology Performance Evaluation (TAPE) is a multi-step methodology introduced by Mottet et al. (2020) to evaluate the economic, social, and environmental performance of agroecological systems in relation to ten elements of agroecology. TAPE is designed to generate comparable, participatory, and decision-oriented data, making it a robust tool for assessing agroecological performance in complex contexts, such as the Colombian Amazon. It integrates productive efficiency, functional ","Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Geck, M., Corssland, M., & Lamanna, C.  (2024). *Measuring agroecology and its performance: An overview and critical discussion of existing tools and approaches*. | Suárez-Córdoba, Y. (et al.) (2025). *Evidence of Agroecological Performance in Production Systems Integrating Agroecology and Bioeconomy Actions Using TAPE in the Colombian Andean–Amazon Transition Zone*.",5
